PlaylistName,PlaylistModifiedDate,TrackName,ArtistName,AlbumName,DateAdded
Chris RnB,2023-03-22,Yo (Excuse Me Miss),Chris Brown,Chris Brown (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Winner,Chris Brown,Chris Brown (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Ain't No Way (You Won't Love Me),Chris Brown,Chris Brown (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Just Fine,Chris Brown,Chris Brown (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Say Goodbye,Chris Brown,Chris Brown (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Take You Down,Chris Brown,Exclusive (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,With You,Chris Brown,Exclusive (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,I Wanna Be,Chris Brown,Exclusive (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Sing Like Me,Chris Brown,Graffiti (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Crawl,Chris Brown,Graffiti (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,So Cold,Chris Brown,Graffiti (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,I Need This,Chris Brown,Graffiti (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Up To You,Chris Brown,F.A.M.E. (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,No BS (feat. Kevin McCall),Chris Brown,F.A.M.E. (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Next To You (feat. Justin Bieber),Chris Brown,F.A.M.E. (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,All Back,Chris Brown,F.A.M.E. (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Wet The Bed (feat. Ludacris),Chris Brown,F.A.M.E. (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Should've Kissed You,Chris Brown,F.A.M.E. (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Beg For It,Chris Brown,F.A.M.E. (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,2012,Chris Brown,Fortune (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Sweet Love,Chris Brown,Fortune (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,4 Years Old,Chris Brown,Fortune (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Lost In Ya Love,Chris Brown,X (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Lights Out (feat. Fat Trel),Chris Brown,Fan of A Fan The Album (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Better,Chris Brown,Fan of A Fan The Album (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Back To Sleep,Chris Brown,Royalty (Deluxe Version),2023-03-22
Chris RnB,2023-03-22,Liquor,Chris Brown,Royalty (Deluxe Version),2023-03-22
Chris RnB,2023-03-22,Proof,Chris Brown,Royalty (Deluxe Version),2023-03-22
Chris RnB,2023-03-22,Blow It In The Wind,Chris Brown,Royalty (Deluxe Version),2023-03-22
Chris RnB,2023-03-22,KAE,Chris Brown,Royalty (Deluxe Version),2023-03-22
Chris RnB,2023-03-22,Lost & Found,Chris Brown,Heartbreak on a Full Moon,2023-03-22
Chris RnB,2023-03-22,Privacy,Chris Brown,Heartbreak on a Full Moon,2023-03-22
Chris RnB,2023-03-22,To My Bed,Chris Brown,Heartbreak on a Full Moon,2023-03-22
Chris RnB,2023-03-22,Hope You Do,Chris Brown,Heartbreak on a Full Moon,2023-03-22
Chris RnB,2023-03-22,Nowhere,Chris Brown,Heartbreak on a Full Moon,2023-03-22
Chris RnB,2023-03-22,Tough Love,Chris Brown,Heartbreak on a Full Moon,2023-03-22
Chris RnB,2023-03-22,Sip,Chris Brown,Heartbreak on a Full Moon,2023-03-22
Chris RnB,2023-03-22,This Ain't,Chris Brown,Heartbreak on a Full Moon,2023-03-22
Chris RnB,2023-03-22,Even,Chris Brown,Heartbreak on a Full Moon,2023-03-22
Chris RnB,2023-03-22,Come Together (feat. H.E.R.),Chris Brown,Indigo,2023-03-22
Chris RnB,2023-03-22,No Guidance (feat. Drake),Chris Brown,Indigo,2023-03-22
Chris RnB,2023-03-22,Troubled Waters,Chris Brown,Indigo,2023-03-22
Chris RnB,2023-03-22,BP / No Judgement,Chris Brown,Indigo,2023-03-22
Chris RnB,2023-03-22,Early 2K (feat. Tank),Chris Brown,Indigo,2023-03-22
Chris RnB,2023-03-22,Under The Influence,Chris Brown,Indigo (Extended),2023-03-22
Chris RnB,2023-03-22,Angles (feat. Chris Brown),Wale,Angles (feat. Chris Brown),2023-03-22
Chris RnB,2023-03-22,Guilty,Sevyn Streeter,Guilty,2023-03-22
Chris RnB,2023-03-22,Something Real (with London On Da Track & Chris Brown),Summer Walker,Something Real (with London On Da Track & Chris Brown),2023-03-22
Chris RnB,2023-03-22,Fairytale,Skyetunes,Fairytale,2023-03-22
Chris RnB,2023-03-22,It Won't Stop (feat. Chris Brown) - EP Version,Sevyn Streeter,"Call Me Crazy, But...",2023-03-22
Chris RnB,2023-03-22,No Air (feat. Chris Brown),Jordin Sparks,Jordin Sparks,2023-03-22
Chris RnB,2023-03-22,Faded to Sade,Lyrica Anderson,Nasha Pearl,2023-03-22
Chris RnB,2023-03-22,Another Round (feat. Chris Brown),Fat Joe,Another Round (feat. Chris Brown),2023-03-22
Chris RnB,2023-03-22,I Luv This Shit - Remix (Bonus Track),August Alsina,Testimony,2023-03-22
Chris RnB,2023-03-22,Whatchamacallit (feat. Chris Brown),Ella Mai,Ella Mai,2023-03-22
Chris RnB,2023-03-22,Keep You in Mind - Remix,Guordan Banks,Keep You in Mind,2023-03-22
Chris RnB,2023-03-22,One Night Stand,Keri Hilson,No Boys Allowed,2023-03-22
Chris RnB,2023-03-22,Ain't Thinkin' 'Bout You,Bow Wow,Aint Thinkin' Bout You,2023-03-22
Chris RnB,2023-03-22,Songs On 12 Play (feat. Trey Songz),Chris Brown,X (Expanded Edition),2023-03-22
Chris RnB,2023-03-22,Body on Me (feat. Chris Brown),Rita Ora,Body on Me (feat. Chris Brown),2023-03-22
Chris RnB,2023-03-22,Harder,Chris Brown,Breezy,2023-03-22
Chris RnB,2023-03-22,Dream,Chris Brown,Breezy,2023-03-22
Chris RnB,2023-03-22,WE (Warm Embrace),Chris Brown,Breezy,2023-03-22
Chris RnB,2023-03-22,Passing Time,Chris Brown,Breezy,2023-03-22
Chris RnB,2023-03-22,Sleep At Night,Chris Brown,Breezy,2023-03-22
Chris RnB,2023-03-22,In The City,Chris Brown,Breezy (Deluxe),2023-03-22
Chris RnB,2023-03-22,Ya Man Ain't Me,Chris Brown,Chris Brown (Expanded Edition),2023-03-22
Clara,2022-09-03,If That's OK With You - Single Mix,Shayne Ward,Breathless,2022-09-03
Clara,2022-09-03,Sailor Moon,LAYA,Sailor Moon,2022-09-03
Clara,2022-09-03,Superstar,Usher,Confessions (Expanded Edition),2022-09-03
Clara,2022-09-03,It Makes Me Ill,*NSYNC,No Strings Attached,2022-09-03
Clara,2022-09-03,What Goes Around.../...Comes Around (Interlude),Justin Timberlake,FutureSex/LoveSounds,2022-09-03
Clara,2022-09-03,Get On The Bus (feat. Timbaland),Destiny's Child,The Writing's On The Wall,2022-09-03
Clara,2022-09-03,This Place Hotel (a.k.a. Heartbreak Hotel),The Jacksons,Scream,2022-09-03
Clara,2022-09-03,Step Out,Busy Signal,Step Out,2022-09-03
Clara,2022-09-03,Go Higher,Stonebwoy,Livingstone,2022-09-03
Clara,2022-09-03,Toni-Ann Singh (feat. Popcaan),Burna Boy,"Love, Damini",2022-09-03
Clara,2022-09-03,How's A Man Supposed To Change?,Blue,Guilty,2022-09-03
Clara,2022-09-03,"Sing About Me, I'm Dying Of Thirst",Kendrick Lamar,"good kid, m.A.A.d city",2022-09-03
Clara,2022-09-03,Iskaba,Wande Coal,Iskaba,2022-09-03
Clara,2022-09-03,Baby Hello,Wande Coal,Wanted,2022-09-03
Clara,2022-09-03,Kpono,Wande Coal,Wanted,2022-09-03
Clara,2022-09-03,Read Your Mind,Avant,Private Room,2022-09-03
Clara,2022-09-03,Lovers And Friends,Lil Jon & The East Side Boyz,Crunk Juice,2022-09-03
Clara,2022-09-03,Winner,Chris Brown,Chris Brown (Expanded Edition),2022-09-03
Clara,2022-09-03,Read Between The Lines,Aaliyah,Aaliyah,2022-09-03
Clara,2022-09-03,Those Were The Days,Aaliyah,Aaliyah,2022-09-03
Actually RnB,2023-02-17,One Way (feat. T-Pain) - Bonus,6LACK,FREE 6LACK,2022-08-13
Actually RnB,2023-02-17,Leave The Door Open,Bruno Mars,Leave The Door Open,2022-08-13
Actually RnB,2023-02-17,Smokin Out The Window,Bruno Mars,Smokin Out The Window,2022-08-13
Actually RnB,2023-02-17,Let Me Explain,Bryson Tiller,Let Me Explain,2022-08-13
Actually RnB,2023-02-17,Exchange,Bryson Tiller,T R A P S O U L,2022-08-13
